"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","leaf_number","panicle_number","tiller_height","tiller_number","basal_circumference","dead_percent","green_percent","leaf_number_dead","leaf_number_green"
1,"DR15",2015,"dry","03",50301,"RIL_206","null",14.6591520997792,158.933944799978,15.3674592427418,0.0639166773761127,269.228962286811,1.59237574714761,19.2422965503316,12.7468377208909,-12.8907609321676,27.5261549751876,1.10147957630364,0.328410835218587,0.788932839243595,1.15668240488053,2.27984409190738,1.12980235210983,0.155908508756928,421.689764248959,15.4294147109238,1.94013772105123,NA,1.39051103155523,12.8490246267281,0.340105418270182,0.659894581608643,4.26353988688824,12.2855972885363
2,"DR15",2015,"dry","03",50302,"RIL_137","null",12.5432020361369,141.468802345764,14.7319721208576,0.0418159117675267,312.081812003915,1.28653848732,17.6039864867446,13.688449339774,-12.4617584612329,36.7520729766719,1.36624205675081,0.333367372076802,1.02290292991886,1.25484209488419,2.63417316691728,0.985692018093531,0.130665562570248,588.219778000295,13.5659048726896,2.56673706942352,287.55618386906,0.962916226084386,16.2550822052879,0.40092761415808,0.599072385613747,6.07724501283415,8.55069319516778
3,"DR15",2015,"dry","03",50303,"RIL_197","null",11.2290288331561,130.453185951012,14.3250779255674,0.0310675139756216,358.038378396884,1.21664771165285,17.1067199634722,13.9029172972333,-12.3265587345014,35.8014565151694,0.950288798076311,0.381890270695153,0.565820901414232,1.24508847922548,2.15170593148434,1.32025427881171,0.175337822619682,274.882859061302,26.2700571612841,2.73803760914634,170.349399644183,2.7802586683346,23.0989737378727,0.528362199861598,0.471637800337248,14.6689466084744,11.9582765655213
4,"DR15",2015,"dry","03",50304,"RIL_045","null",9.17729571715064,100.453935094834,14.3895909922377,0.0312871132680463,309.670072973104,1.34334236835607,17.0515587328317,12.1140904467738,-12.5917101716868,28.0124442213697,0.74058810081596,0.225794586843542,0.514726528301987,1.18452388153381,1.86114922600397,1.52790125787454,0.125653645614391,298.704539095846,18.8924188951717,3.26908985247795,180.979113798705,2.06748781098738,17.4047595018493,0.496574235055697,0.503425765146909,9.23349702701997,9.88291589313034
5,"DR15",2015,"dry","03",50305,"RIL_014","null",17.6598711602895,184.609402230166,15.9158476563023,0.0649099429758265,293.244130272378,1.28188174908212,17.4159411475043,13.4738455166516,-12.515822452419,28.8711500198831,1.38237574052092,0.50264655737945,0.832234703651197,1.94378438567193,3.43703477532006,1.49961423896043,0.146480955316006,374.717404389131,18.4155179648429,1.85049666082051,186.273899764403,1.87871415089787,21.1858958784453,0.442999577620726,0.557000422431478,8.02611350061478,10.4143724995979
6,"DR15",2015,"dry","03",50306,"RIL_180","null",10.3334264837396,123.956242238178,13.6344080569966,0.0386353125959364,293.742968903728,1.33845941040723,17.8589794179948,13.401540275261,-12.5970750423238,29.2859848288028,1.00212287645765,0.314224684025694,0.688555976448772,1.4781857143468,2.58107608993191,1.59509079686138,0.126262194633521,300.05842594029,13.8832300442637,1.65200025998497,139.219295344726,1.57834727084769,18.036285695851,0.48850770419644,0.511492295797034,7.49730770581324,8.6535154023927
7,"DR15",2015,"dry","03",50307,"RIL_123","null",6.16874786578857,105.522254588459,11.7621631071378,0.0289134399038373,272.203729803951,1.27513389594676,18.3305422827619,15.0940729043798,-12.6351406992962,34.0531605730615,0.917039744837918,0.265393491866961,0.620919129880917,1.00176695834153,1.92626012844822,1.12859632318458,0.154585380000046,387.550620537683,15.5360875436299,2.17275192251005,NA,1.1801613885315,15.3082079604437,0.392483912808553,0.607516086962551,5.51120731318976,10.8630775467712
8,"DR15",2015,"dry","03",50308,"RIL_100","null",25.6023667597763,238.920822333862,18.2501566804394,0.0833160454701974,312.334381362445,1.30960328902528,17.7503204676525,13.5779265505052,-12.3533349344375,36.6661278805122,1.79293649133163,0.637410218412248,1.15842658042985,2.57609684847391,4.40118128312417,1.45878554913481,0.144412177985754,522.877798032034,12.2240616140431,1.03085848590283,NA,1.00524550851049,20.5721262036455,0.485579792577012,0.514420207422452,7.43045857589699,5.8850954906612
9,"DR15",2015,"dry","03",50309,"RIL_024","null",17.6403865297991,157.977500614085,17.5599586886175,0.0601829408878112,304.211334248955,1.34674095865685,17.7994469213257,13.1463961763441,-12.0839213865797,31.5270898754136,1.39893718330786,0.521745630983006,0.877768905200259,1.81749691279578,3.22999378113417,1.32245873734555,0.160478582869977,430.409896539514,19.0053161612646,2.06680887381771,237.336965213788,1.75472846343249,20.2883563620902,0.489888616471117,0.510111383656261,8.95515712488209,10.5229976325185
10,"DR15",2015,"dry","03",50310,"RIL_064","null",15.0003601891079,155.885624273823,15.6329299878888,0.0483073842427832,314.167350713107,1.38826453761562,17.8685837439314,12.8965604773085,-12.705478906959,29.2809707756164,0.972464677528756,0.32147108486321,0.649135673782884,1.13125807934118,2.13988921505661,1.20422863989227,0.154672788796268,311.600244930453,17.4045263424074,2.26493347476333,172.178268672219,1.75120149038781,18.6281191485773,0.423252018698576,0.576747981264522,7.14252606298953,11.4419060229502
11,"DR15",2015,"dry","03",50311,"B100","null",23.0606732218946,205.605859447606,18.8911415726735,0.071130113403713,333.557278931304,1.14415613592344,16.6507848344807,14.2949003105445,-11.9909763391949,39.4093264375629,1.65594508282777,0.597560856316187,1.06165488406514,2.05748421762489,3.73346266454123,1.24709367430844,0.161761518558855,482.579132316194,13.3616365243385,1.16482254134799,298.792974616426,1.0837867129125,20.0524083831182,0.524676490287909,0.475323509583966,7.49757271211409,6.42661449321187
12,"DR15",2015,"dry","03",50312,"RIL_183","null",15.6904674376026,187.605565448163,14.5538851404032,0.0551966034336954,303.134419339596,1.30682658763342,18.1689939149357,14.4088359503671,-12.7068383806312,37.9761211777043,1.45008273902398,0.497266595932149,0.957536870786141,1.50545859958869,3.01555997976624,1.09985083135278,0.1663563052497,430.055248688133,19.2124744354944,2.14086464443899,235.185975116224,1.75613716827996,18.9076794388919,0.494845456834911,0.505154543283133,8.94603900216674,10.9947671089551
13,"DR15",2015,"dry","03",50313,"RIL_056","null",8.30046110898318,116.913286632211,12.9445077276771,0.0262451736144607,325.810180367723,1.38992715208154,18.3766561983101,13.5304465264976,-12.5049963051146,32.0939101515876,1.47190429868802,0.490534320821143,0.98839038848654,1.85923207036621,3.31423673703424,1.2770098938036,0.146917882715394,385.770930495717,23.8041550289983,3.10530556132378,276.804023867452,2.47841746141027,26.2070250975679,0.40836092271657,0.591639077199882,8.31846564530606,15.3067530958447
14,"DR15",2015,"dry","03",50314,"RIL_010","null",11.1470241952411,165.691947631676,13.026698767869,0.0423906140294888,294.732498664856,1.32354348450097,18.3877572059042,14.8116458552969,-12.6044166393372,32.4127717579749,1.23870659450375,0.349639382516139,0.884379640036626,1.19435897307576,2.46982351709011,1.03480523657896,0.14632634463883,494.712084549431,13.0464300211718,1.53682594968999,327.946482168931,1.26415263048455,17.9756927295539,0.41289716775171,0.587102832127313,5.57318870317775,8.37918846148511
15,"DR15",2015,"dry","03",50315,"RIL_148","null",12.1157307387892,155.91710543076,17.1471691806565,0.0368897321710884,330.754596533935,1.36863501227598,18.3156394654295,13.8440286012153,-12.4819375851167,31.5051278445521,1.00001177212788,0.296503628817635,0.700053992844579,1.21307991027226,2.25974360864941,1.25400876801487,0.135374829221546,370.663384802399,14.9286435846712,1.81509063429863,241.667627904568,1.85943043335354,20.4652266265694,0.465451390173839,0.534548609731093,7.76594347829643,8.41913509179322
16,"DR15",2015,"dry","03",50316,"RIL_008","null",14.2467014444183,173.249277129441,13.9631979879628,0.0496462951103752,303.038168852872,1.19283475548468,17.6700792394173,15.5314004953857,-12.4453473487709,30.9768175639333,1.49219486326165,0.380411245420084,1.10443313570105,1.54536250516823,3.07454172492811,1.07289206771219,0.127249698053051,631.307721766661,14.5699263091565,1.57021316019316,NA,1.24439090581117,19.7374096771139,0.373091242853491,0.626908757047825,4.59165778737363,10.7373785496218
17,"DR15",2015,"dry","03",50317,"RIL_073","null",13.7803017615287,159.592010516841,15.4670192885169,0.0478206364386913,303.234322574527,1.37036005051821,17.9831620286649,13.3138353889324,-12.5091027721436,34.6914352864977,1.2062294415256,0.380110953755482,0.828356758183611,1.24953505135095,2.44213790803047,1.04126915051118,0.154429350265579,517.999670981229,14.799978108281,1.43579887642317,256.090677452302,1.32129759708076,17.2177774462786,0.548848678696498,0.451151321409215,8.90217481913899,7.00715059202378
18,"DR15",2015,"dry","03",50318,"RIL_036","null",17.1927106728598,178.973028290649,15.6481318955699,0.0573633523430421,315.846305026207,1.31952093646814,17.7948238836358,13.7086303411908,-12.4769746579333,32.0459235503213,1.42666775637365,0.500737231067765,0.865688259289988,1.80906227334537,3.24970892271712,1.30757512883953,0.152896908419767,427.470851756827,15.9409546190313,1.63454260707705,156.561463957914,1.90202088355355,21.5574613673704,0.473084771338053,0.526915228666178,8.59769878177608,9.55057381701956
19,"DR15",2015,"dry","03",50319,"B100","null",23.0606732218946,205.605859447606,18.8911415726735,0.071130113403713,333.557278931304,1.14415613592344,16.6507848344807,14.2949003105445,-11.9909763391949,39.4093264375629,1.65594508282777,0.597560856316187,1.06165488406514,2.05748421762489,3.73346266454123,1.24709367430844,0.161761518558855,482.579132316194,13.3616365243385,1.16482254134799,NA,1.0837867129125,20.0524083831182,0.524676490287909,0.475323509583966,7.49757271211409,6.42661449321187
20,"DR15",2015,"dry","03",50320,"RIL_116","null",12.8236425074849,136.611691868834,15.628042510273,0.0464148779796747,300.038997787132,1.48405894649136,18.202622432135,12.3606265913054,-12.5639956898921,28.7956330430775,0.888254378455831,0.289144060045591,0.595837008667611,1.28823663497267,2.18897829523292,1.472323339967,0.13428023739838,319.204208674603,15.3944685675824,1.72604029624667,194.615592479895,1.53105331359529,17.5721915966802,0.435597971732709,0.564402028217289,5.99756026939956,10.7802547330424
21,"DR15",2015,"dry","03",50321,"RIL_048","null",9.07478787496393,117.831816343882,12.5562330673972,0.0279755730501919,332.983390601376,1.32419321409146,17.6567872538631,13.3225664383152,-12.4161805240457,35.0298016049688,0.866465580727087,0.334682834981006,0.530837626206721,1.13547435047118,1.95942720586554,1.30522324692961,0.171118484838541,289.325419832061,23.8039735631209,3.03793545999607,198.744921233242,2.62591151923847,21.0243850539703,0.450021023340261,0.549978976681477,10.7234212953085,13.8674713981398
22,"DR15",2015,"dry","03",50322,"RIL_201","null",13.3577357076682,171.750309640855,13.5642987239312,0.0517427076319675,288.980259428215,1.3992553305874,18.368543354974,13.5394354968783,-12.7065487558366,33.3778788783749,1.51781198177802,0.427361894056017,1.09667671041213,2.0424729975053,3.59263245608718,1.39093278859622,0.12189278717036,592.889465733617,13.7571379778158,1.66183591065277,NA,1.21059552582647,17.8287780421005,0.454797879263189,0.54520212071544,6.93908449969737,7.82485908893833
23,"DR15",2015,"dry","03",50323,"RIL_081","null",17.7689424416071,221.013599534698,14.9069458704539,0.0618923398066172,303.558370822398,1.31098253670125,17.7081037469017,13.456359686826,-12.4551013543017,39.8619119281689,1.68672348443861,0.557292942264634,1.13166217235977,1.39415585277449,3.29758636919246,0.953371464405341,0.172695486070741,558.638668504397,12.8316598732313,1.11779098013233,NA,1.04943556355851,16.3911515592039,0.468303609744551,0.531696390473547,6.48818990134596,6.96427440860313
24,"DR15",2015,"dry","03",50324,"RIL_150","null",14.0752968714128,163.623927808696,15.0216349840694,0.0407643533714457,335.930657941413,1.30114667741241,17.1183291332367,12.4732577718294,-12.4215828342575,33.6708079534868,1.08116033408969,0.423004483986826,0.659940813613802,1.68579726604112,2.69399776233972,1.54217436076711,0.156235553460044,353.248269902691,19.9717317371727,2.0197533661863,240.107466640344,2.28233051279182,21.3011798757214,0.421551422297865,0.578448577580835,8.43475628833534,12.0866191910315
25,"DR15",2015,"dry","03",50325,"RIL_140","null",12.0382686168375,155.860729329403,14.2562058213499,0.043150584720928,304.228572460369,1.44733605405943,18.2817187298263,12.9141387708416,-12.6733720828723,33.7512469443493,0.927562761559743,0.272525212824614,0.652273190454618,1.1899927477473,2.14068676818718,1.26016903810006,0.136637974822852,492.680813306174,12.0712329226708,1.43579887642317,NA,1.08504545410804,16.5828977126148,0.435467886811125,0.564532113111919,5.73838603203648,7.41483451719229
26,"DR15",2015,"dry","03",50326,"RIL_114","null",14.3833778047092,162.317965369262,14.5926151226261,0.048844032333617,310.296803455672,1.37289106372623,18.2122263401319,13.5472225640653,-12.3813510828876,34.8843359960356,1.30513726534224,0.446088615210684,0.859347891807089,1.6400736626705,2.91226119464339,1.26631425344304,0.152063489358653,457.348445903624,18.9194519317483,1.84780793246498,250.487597500255,1.62047685144414,22.0018354240332,0.502741013924544,0.497258986154581,10.0471707962747,9.87692532809589
27,"DR15",2015,"dry","03",50327,"RIL_213","null",21.8637556146747,233.09403055128,16.5205245923203,0.071917989118336,307.565175141478,1.36126944624031,18.0554534511829,13.4166574806917,-12.4140606167839,33.5678228405226,2.21739153212576,0.628163509753595,1.5866930274486,2.82366132896031,5.03087402466713,1.31304131636067,0.125922886216669,639.535288941579,13.5666670093296,1.52254321098817,NA,1.08504545410805,18.8088281815649,0.430772191981477,0.56922780802791,6.10367579861429,8.29343609464379
28,"DR15",2015,"dry","03",50328,"RIL_012","null",22.3230355481087,186.164941749431,19.6250461126849,0.0800162289540876,290.964450848604,1.49495367760994,18.3014467613431,12.5455021886839,-12.6338213432102,30.9548555330719,1.38996825843313,0.494136030926097,0.895711297358856,2.06667422456246,3.50111688057232,1.52664108596136,0.141545049381577,461.081457827597,15.4210513813152,1.52493309095222,195.706623166794,1.45202765148026,20.415672624979,0.487847334908463,0.512152665274072,7.79164801611291,8.12026852169782
29,"DR15",2015,"dry","03",50329,"RIL_057","null",13.2645674835406,154.276528377803,15.429223517712,0.0424765699066913,316.560122710541,1.38999065252118,17.8864651712507,12.8454041499958,-12.3375884073995,35.9804180664714,0.880968977918093,0.308319727761392,0.572336487411637,1.26173160777413,2.11896385711573,1.47041919155298,0.145985335944703,368.547017470902,14.9629110819165,1.45752965084642,NA,1.31626566621509,20.6677042770221,0.480837319028759,0.519162680963276,7.36345606591919,8.42512565682766
30,"DR15",2015,"dry","03",50330,"RIL_093","null",16.665508618752,157.814454867751,16.1656912993507,0.0505317989030991,331.436498314302,1.26780148576249,16.8615234001636,12.7415220369933,-12.4196577036068,29.9127256307317,1.24336287779191,0.458087289098996,0.703224787375375,1.46627073245096,2.86925003447484,1.30147819476788,0.159324425795405,312.979088364009,26.1145405631766,3.3122605779273,227.400547345708,3.09646277140074,23.7061639928357,0.507457252751527,0.492542747368502,13.8110907877014,12.339546869084
31,"DR15",2015,"dry","03",50331,"RIL_151","null",9.17900603695715,131.535082564809,12.5711127412068,0.0306063624892754,319.947824969518,1.39782764024404,17.8103354246675,12.7505516566427,-12.6867211995898,29.3289573768827,1.07354441363503,0.300789106062426,0.773430239760507,1.19686515507353,2.276862469507,1.09531152972586,0.137962842225348,399.967291105587,24.5342192534501,4.73230728699832,244.05759116023,2.02253898392437,17.7407726323904,0.388843380224767,0.61115661948206,9.03228493077267,15.6807701013655
32,"DR15",2015,"dry","03",50332,"RIL_020","null",18.2515403145625,205.577704583313,16.8090054364015,0.0650945258006156,309.745660105059,1.30508967924637,17.9187050092846,14.190704954831,-12.5325490996759,32.3677419040988,1.95489384097355,0.553207986479044,1.3987009743362,2.27364832269475,4.29240299686114,1.23109160109094,0.130482423429317,594.508328896164,12.3364706189424,1.38759957835107,349.314755584238,1.32175093520482,21.496547573026,0.407857760474642,0.592142239423017,5.35977819610656,7.87422810950937
33,"DR15",2015,"dry","03",50333,"B100","null",23.0606732218946,205.605859447606,18.8911415726735,0.071130113403713,333.557278931304,1.14415613592344,16.6507848344807,14.2949003105445,-11.9909763391949,39.4093264375629,1.65594508282777,0.597560856316187,1.06165488406514,2.05748421762489,3.73346266454123,1.24709367430844,0.161761518558855,482.579132316194,13.3616365243385,1.16482254134799,NA,1.0837867129125,20.0524083831182,0.524676490287909,0.475323509583966,7.49757271211409,6.42661449321187
34,"DR15",2015,"dry","03",50334,"RIL_099","null",12.3247203377897,142.507181893817,15.1260528195202,0.0363984875358507,344.749622174773,1.25782571252425,17.2421416744861,13.5843574333415,-12.1764773043858,30.9053631266711,1.81076105773465,0.680571742711065,1.13566223345253,2.51455421887201,4.32786861641214,1.38837762068211,0.153001183284784,439.326301414457,28.7788258951806,3.38475480224987,283.667651273629,2.8659516080387,23.963363511166,0.41683356058983,0.583166439392894,10.2556613022865,18.7521350580779
35,"DR15",2015,"dry","03",50335,"RIL_159","null",14.2737919134204,172.536288422167,15.6061024185393,0.0463105109918064,323.965483964628,1.27206670748216,17.3737216597548,13.5360379231471,-12.1164014063649,32.9345621802727,1.67335722586773,0.623785936408436,1.05791568513134,2.2801727277613,3.98096348446524,1.41286203990812,0.153972709401328,399.538723413511,24.0835505000809,2.43102782625685,234.808420060231,2.4974231874916,24.756295570544,NA,NA,NA,NA
36,"DR15",2015,"dry","03",50336,"RIL_088","null",16.763824252844,176.169617393586,16.0976500300687,0.05343569727366,319.27659241462,1.30284039785407,17.3788304573321,13.3053552167605,-12.3460375840077,38.5234367417944,1.09855794902107,0.417881577365766,0.680410462402831,1.33980903137318,2.43484417764959,1.24594839056337,0.169278255763042,375.364905047436,16.9284685205914,1.53332843916602,NA,1.59163829681805,20.2278806237761,0.518347287252237,0.481652712807244,9.48579513804715,8.80795029569178
37,"DR15",2015,"dry","03",50337,"RIL_105","null",12.2338394337077,129.430413371948,15.6764410221141,0.0366122299429363,338.882187523482,1.24482313157549,16.9528086906613,13.1093442709331,-12.3759995824137,28.0334547385881,1.27676405595776,0.482593565980544,0.79885801944762,1.74524799776157,3.03771587074711,1.39909773325229,0.15680136087045,330.573316139653,25.7530849806713,3.26243898865685,237.738426016204,2.35840584557821,17.7209198736277,0.456683653498956,0.543316346613361,10.2325200114508,15.1537569007598
38,"DR15",2015,"dry","03",50338,"RIL_147","null",11.0193848575814,134.595045992072,14.3100663222351,0.037695495710464,310.290107310996,1.42328781210325,18.0842955787373,12.8378857082491,-12.4356789144759,30.1456421409593,0.916297367733241,0.322829646230359,0.59243516252022,1.36574974396321,2.29764946330397,1.51165875279722,0.142679849695768,321.675371806185,21.4591688197855,2.80379162291783,200.133399848344,2.28773803545511,19.6901818393812,NA,NA,NA,NA
39,"DR15",2015,"dry","03",50339,"RIL_017","null",17.255981489229,191.49093627359,15.3226683652343,0.0639035670053598,295.606971862661,1.3379358319904,18.1084281028359,13.7528560257717,-12.2547409428802,31.2242247330584,2.18972366568569,0.720945123111811,1.47105483968723,1.93169553727601,4.17496199097261,0.941465706302906,0.169515087252157,526.801670545633,17.6841146584836,1.64485379895229,299.330029141816,1.71015488816643,24.4803973842684,0.37980083139764,0.620199168566743,5.96207003228312,11.9349821322879
40,"DR15",2015,"dry","03",50340,"RIL_013","null",15.5677820049821,149.260738795757,16.962649362784,0.0595013346030117,285.622375753148,1.37413972014782,18.1946086243059,13.5409381100578,-12.2840029594727,27.704565025828,1.03726357216858,0.340756919576526,0.693445953816479,1.40033908153674,2.46233251998883,1.35240919391782,0.141207878190586,373.210722079054,16.4596024854326,1.70269656917104,194.844858718916,1.62623428027535,16.741134351389,0.490163317555882,0.509836682438603,8.16376352455528,9.14803020994455
41,"DR15",2015,"dry","03",50341,"RIL_002","null",12.3135276793696,152.914301580566,13.9006328461883,0.0475245810777012,294.423398449064,1.338343247708,18.0596792752707,13.7923206427803,-12.5245759032285,28.1008367780871,1.19674990949226,0.32579645717808,0.86599032142668,1.3560902634334,2.63734333069199,1.19894174019306,0.129708746034512,476.518150572971,17.7821122016773,3.24822992642976,252.025949040811,1.49354452945956,13.4109611563888,0.386038462956405,0.613961536964771,5.24547270503863,13.1917870420372
