"year","experiment","genotype","treatment","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","sim_gN.m2","sim_CN_ratio","sim_gC.m2","stag_gN.m2","stag_CN_ratio","stag_gC.m2","d13C","branch_number_cbrt","leaf_number_cbrt","panicle_number_cbrt","tiller_number_cbrt","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","vegetative_mass_per_DAS","leaf_mass_per_DAS","stem_mass_per_DAS","panicle_mass_per_DAS","total_mass_per_DAS","reproductive_vegetative_mass_ratio","leaf_mass_ratio","branch_number","culm_height","leaf_number","panicle_length","panicle_number","tiller_height","tiller_number","basal_circumference","dead_percent","green_percent","leaf_number_dead","leaf_number_green"
"2013","density","A10","sparse",9.99653883210573,105.586004585206,15.9593735055956,0.0500337263594923,223.480711509493,2.1980549721506,10.9179619760947,24.3167916879088,2.35376108682611,11.4346074462714,26.4387263989842,-13.1899536605077,2.83507278385009,4.95684958461199,4.88223061507178,2.19965295493744,30.3225482374891,6.65492667216333,1.38501917595935,5.28816384427217,2.67185109657374,9.04706537126237,0.0711751267906147,0.0150525494267275,0.0565719676565059,0.0288523806144518,0.0967596994034599,0.28089450826049,0.121932339186335,22.6698995938986,243.589571485332,124.118788069767,50.9753690521441,119.101011323124,220.900321424468,10.7831121886692,NA,NA,NA,NA,NA
"2013","density","A10","thick",2.93210172183674,74.93487616592,11.7803013236856,0.00462927568378674,271.949470505976,1.54282498707677,13.4874391177123,19.1505148715042,1.78540761204966,14.3442296825236,23.4920699128202,-12.8476715942793,2.13780779342691,3.58291793905784,3.66041760055973,1.5819950015768,30.392717476884,-0.9051470722708,-0.489285121192106,-0.428733846385787,-0.670226501920082,-1.69137726963295,-0.00960439863244857,-0.00495027977587209,-0.00452309894069049,-0.00688787653967485,-0.0180624539040699,0.215441843698903,0.171951282039944,14.6550291037321,208.967151760855,70.3281814218668,25.6876813891202,85.0804585144862,137.696368226081,5.55959697508756,NA,NA,NA,NA,NA
"2013","density","B100","sparse",35.0438405112313,243.117302989265,26.0084865920121,0.166222459760914,219.594753728422,1.97004537302804,12.2385752916166,23.9960969581206,2.22401119846763,11.9139253454124,26.2951302670866,-13.1349904122728,0.942129525103367,3.49122889947392,2.11621208584861,1.72075514345803,49.1166924025918,12.6767274101015,3.68829665848481,8.97146426144431,5.27376616616751,17.5650697829996,0.138089336141532,0.0402538164784317,0.0979080252940457,0.0578613297290182,0.191377212751942,0.379607586041559,0.220434517387777,5.25637633672327,560.709343205458,52.2677961346594,152.858153243658,22.2308167655567,467.496858489394,5.76422967658126,NA,NA,NA,NA,NA
"2013","density","B100","thick",27.4296951120849,209.615948505224,21.5962317305282,0.117860559534646,268.219290727078,1.3075734693847,14.9622790044838,18.7618932183086,1.63498261029274,14.7843483085736,23.0426885340821,-12.8145015549981,0.257064356216448,2.14820525097321,0.927771674459791,1.10960128087717,49.1934631663259,5.04383079014578,1.79429791717597,3.19170146314757,1.93460137869603,6.75360328557054,0.0560020489162746,0.0198384535590746,0.035541852059515,0.0217574509481729,0.0750394585385833,0.323408509945036,0.269300247583437,-2.71778465122547,523.182816904557,0.341953789038592,127.856209973949,-10.7149089478915,381.477437401207,0.605595030812277,NA,NA,NA,NA,NA
"2013","density","RIL_001","sparse",22.4201599521264,197.988254340373,22.5571916840603,0.105620049870778,215.414576385686,2.0035727521518,13.091140771483,25.2460491936612,1.97369167278468,12.4894975150155,24.4568936456558,-13.0949186963038,2.29174188714041,3.95588848943364,3.69992171469982,1.93240747076765,38.2939100066989,9.73275307732192,2.56921316309803,7.30804277577468,4.41785170756801,13.7606068824593,0.107926044319247,0.0274955780267837,0.0810827555186967,0.0474871312461225,0.152590690736729,0.433618843892108,0.155247888525775,12.3727681178958,444.788815835019,69.1057838604927,135.405894415761,51.9228205176259,392.159609125439,7.53747033000624,NA,NA,NA,NA,NA
"2013","density","RIL_001","thick",15.5116086494184,167.762851912206,18.5832753393774,0.061956518823697,261.401287191362,1.34301374624423,15.8947520456663,20.3057315300061,1.4207495703718,15.6584682122612,21.9618500289819,-12.751039169119,1.56559172927041,2.58286827017635,2.44655085996845,1.30781406895668,38.3727952114816,1.82752521162022,0.734726774392197,1.37203992330439,1.04144533148599,2.55137341766005,0.0201692146419527,0.00800325961292885,0.0151663973510991,0.0116277947849768,0.0281744092692698,0.358804024457537,0.20655371329881,4.22233250466777,417.506593364673,15.2771182036695,111.900830363146,17.0312411881387,314.355105166367,2.2505786260184,NA,NA,NA,NA,NA
"2013","density","RIL_002","sparse",19.4102325297052,182.82296559516,20.9799723147873,0.0961351277954053,208.895255255662,1.87693622048177,12.8940962796903,23.9072543073163,NA,NA,NA,-13.2161041840898,2.0592152492206,4.04690675815763,3.02721760255357,1.9601967737293,38.7172246483683,9.73287756358582,2.52826638241075,7.23015067251281,4.10406219707016,13.6339987392065,0.107358514998318,0.0279156176600858,0.0798328571505172,0.0455382467327573,0.150317669442636,0.397005193213021,0.182576591985988,10.6589134770513,431.162384677678,70.7440502365497,115.948792480078,33.632875780261,363.685211366863,7.65111948261182,NA,NA,NA,NA,NA
"2013","density","RIL_002","thick",10.6750337096114,143.040129254979,16.2625705230726,0.0428477262022686,254.849599087735,NA,NA,NA,1.48326627082632,15.2335742464574,21.7071563179438,-12.9566639552227,1.46025308098462,2.67388653890034,1.94107267687354,1.37118364141014,38.5096875576792,1.76466243418113,0.513035396308208,1.26600834856006,0.867108837847692,2.52491481702104,0.0194908642512516,0.00564568330410136,0.0140089077071212,0.0096194666406536,0.0277480460147228,0.399902517823977,0.224040315605032,3.08206422466462,371.836128764478,16.9153845797265,88.3807705524954,3.57368281441124,263.864084426224,2.69704283915162,NA,NA,NA,NA,NA
"2013","density","RIL_004","sparse",24.943207567781,199.850017407301,21.3449653668471,0.11744125283651,208.041954126938,1.93998283300904,12.9603313093458,24.7666047621056,NA,NA,NA,-13.4253577517862,1.83033750074816,4.02975764864538,3.12948067751464,1.91701643094006,40.1181213229504,10.3061492305275,2.79619894915668,7.52712673077202,4.1508670721848,14.3131259630271,0.114042004504012,0.030968247740707,0.0833287795381378,0.046124861649474,0.158420094903564,0.367830575236994,0.195125039118212,9.91596939531562,342.14766775349,71.7551677655224,112.250442494972,38.3350485685222,344.27967126893,7.51099210101208,NA,NA,NA,NA,NA
"2013","density","RIL_004","thick",16.2080087476871,160.06718106712,16.6275635751324,0.0641538512433729,253.996297959012,NA,NA,NA,1.46294490860887,15.4554418721492,21.8879275247769,-13.1659175229192,1.23137533251218,2.65673742938809,2.04333575183461,1.32800329862091,39.9105842322613,2.33793410112279,0.780967963054136,1.56298440681928,0.913913712962339,3.20404204084167,0.0261743537569448,0.00869831338472265,0.0175048300947418,0.0102060815573703,0.0358504714756503,0.37072789984795,0.236588762737257,2.33912014292896,282.82141184029,17.9265021086992,84.6824205673888,8.27585560267236,244.458544328291,2.55691545755187,NA,NA,NA,NA,NA
