"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"basal_circumference",2,".",16.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"basal_circumference",3,".",21.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"branch_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"branch_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"branch_number_per_plant",3,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"culm_height",1,".",172.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"culm_height",2,".",130.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"culm_height",3,".",192.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"second_tiller_height",1,".",158.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"second_tiller_height",2,".",156.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"second_tiller_height",3,".",185.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"tiller_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_222","high_density",31,31004,41910,3,"tiller_number_per_plant",3,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"basal_circumference",1,".",18.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"basal_circumference",2,".",30.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"basal_circumference",3,".",26.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"branch_number_per_plant",1,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"branch_number_per_plant",2,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"branch_number_per_plant",3,".",7.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"culm_height",1,".",186.000
