"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","trait","subsample_num","flag","data"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"panicle_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"tiller_number_per_plant_sqrt",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"branch_number_per_plant_sqrt",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"culm_height",3,".",265.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"second_tiller_height",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"tiller_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"branch_number_per_plant",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"leaf_number_per_plant",3,".",7.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"panicle_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"tiller_number_per_plant_sqrt",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"branch_number_per_plant_sqrt",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"culm_height",4,".",338.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"second_tiller_height",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"tiller_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"branch_number_per_plant",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"leaf_number_per_plant",4,".",8.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"panicle_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"tiller_number_per_plant_sqrt",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,"branch_number_per_plant_sqrt",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"culm_height",1,".",233.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"second_tiller_height",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"leaf_number_per_plant",1,".",12.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"panicle_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant_sqrt",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant_sqrt",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"culm_height",2,".",434.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"second_tiller_height",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"leaf_number_per_plant",2,".",12.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"panicle_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant_sqrt",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant_sqrt",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"culm_height",3,".",699.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"second_tiller_height",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"leaf_number_per_plant",3,".",13.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"panicle_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant_sqrt",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant_sqrt",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"culm_height",4,".",518.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"second_tiller_height",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"leaf_number_per_plant",4,".",17.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"panicle_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"tiller_number_per_plant_sqrt",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,"branch_number_per_plant_sqrt",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"culm_height",1,2,1036.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"second_tiller_height",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"leaf_number_per_plant",1,".",10.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"panicle_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant_sqrt",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant_sqrt",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"culm_height",2,2,1066.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"second_tiller_height",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"leaf_number_per_plant",2,".",12.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"panicle_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant_sqrt",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant_sqrt",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"culm_height",3,".",1008.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"second_tiller_height",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"leaf_number_per_plant",3,".",11.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"panicle_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant_sqrt",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant_sqrt",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"culm_height",4,".",1009.00
