"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41883.00,244,"Height",2,2,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41883.00,244,"Height",2,3,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31144,41883.00,244,"Height",2,1,".",13.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31144,41883.00,244,"Height",2,2,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31144,41883.00,244,"Height",2,3,".",11.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31156,41883.00,244,"Height",2,1,".",21.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31156,41883.00,244,"Height",2,2,".",20.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31156,41883.00,244,"Height",2,3,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31179,41883.00,244,"Height",2,1,".",20.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31179,41883.00,244,"Height",2,2,".",25.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31179,41883.00,244,"Height",2,3,".",25.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31187,41883.00,244,"Height",2,1,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31187,41883.00,244,"Height",2,2,".",19.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31187,41883.00,244,"Height",2,3,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31202,41883.00,244,"Height",2,1,".",20.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31202,41883.00,244,"Height",2,2,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31202,41883.00,244,"Height",2,3,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41906.40,267,"culm_height",3,1,".",23.3
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41914.00,275,"culm_height",3,2,".",22.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41914.00,275,"culm_height",3,3,".",14.5
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41862.00,223,"Height",1,1,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41862.00,223,"Height",1,2,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41862.00,223,"Height",1,3,".",5.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41862.00,223,"Height",1,1,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41862.00,223,"Height",1,2,".",5.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41862.00,223,"Height",1,1,".",5.0
