"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","trait","flag","data"
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"leaf_mass_per_plant",".",0.05
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"leaf_mass_per_m2",".",1.80
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"panicle_mass_per_plant",".",1.00
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"panicle_mass_per_m2",".",36.00
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"stem_mass_per_plant",".",5.90
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34002,2,"stem_mass_per_m2",".",212.40
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"leaf_mass_per_plant",".",5.95
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"leaf_mass_per_m2",".",214.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"panicle_mass_per_plant",".",19.25
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"panicle_mass_per_m2",".",693.00
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"stem_mass_per_plant",".",12.05
2013,"density","JGI","rain_fed",36,123,134,"RIL_060","low_density",32,32124,2,"stem_mass_per_m2",".",433.80
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"leaf_mass_per_plant",".",2.45
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"leaf_mass_per_m2",".",88.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"panicle_mass_per_plant",".",4.95
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"panicle_mass_per_m2",".",178.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"stem_mass_per_plant",".",6.80
2013,"density","JGI","rain_fed",36,123,134,"RIL_168","low_density",32,32044,2,"stem_mass_per_m2",".",244.80
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"leaf_mass_per_plant",".",4.15
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"leaf_mass_per_m2",".",149.40
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"panicle_mass_per_plant",".",4.00
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"panicle_mass_per_m2",".",144.00
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"stem_mass_per_plant",".",9.50
2013,"density","JGI","rain_fed",36,123,134,"RIL_184","low_density",34,34103,2,"stem_mass_per_m2",".",342.00
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"leaf_mass_per_plant",".",1.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"leaf_mass_per_m2",".",43.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"panicle_mass_per_plant",".",2.05
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"panicle_mass_per_m2",".",73.80
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"stem_mass_per_plant",".",5.20
2013,"density","JGI","rain_fed",36,123,134,"RIL_220","low_density",34,34008,2,"stem_mass_per_m2",".",187.20
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"leaf_mass_per_plant",".",0.30
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"leaf_mass_per_m2",".",120.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"panicle_mass_per_plant",".",0.60
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"panicle_mass_per_m2",".",240.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"stem_mass_per_plant",".",0.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_007","high_density",31,31204,2,"stem_mass_per_m2",".",220.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"leaf_mass_per_plant",".",0.35
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"leaf_mass_per_m2",".",140.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"panicle_mass_per_plant",".",0.15
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"panicle_mass_per_m2",".",60.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"stem_mass_per_plant",".",0.75
2013,"density","JGI","rain_fed",400,123,134,"RIL_024","high_density",33,33145,2,"stem_mass_per_m2",".",300.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"leaf_mass_per_plant",".",3.85
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"leaf_mass_per_m2",".",1540.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"panicle_mass_per_plant",".",9.05
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"panicle_mass_per_m2",".",3620.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"stem_mass_per_plant",".",9.60
2013,"density","JGI","rain_fed",400,123,134,"RIL_071","high_density",31,31119,2,"stem_mass_per_m2",".",3840.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"leaf_mass_per_plant",".",0.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"leaf_mass_per_m2",".",220.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"panicle_mass_per_plant",".",0.30
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"panicle_mass_per_m2",".",120.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"stem_mass_per_plant",".",1.20
2013,"density","JGI","rain_fed",400,123,134,"RIL_116","high_density",33,33127,2,"stem_mass_per_m2",".",480.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"leaf_mass_per_plant",".",0.25
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"leaf_mass_per_m2",".",100.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"panicle_mass_per_plant",".",0.35
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"panicle_mass_per_m2",".",140.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"stem_mass_per_plant",".",0.90
2013,"density","JGI","rain_fed",400,123,134,"RIL_208","high_density",33,33110,2,"stem_mass_per_m2",".",360.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"leaf_mass_per_plant",".",1.30
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"leaf_mass_per_m2",".",520.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"panicle_mass_per_plant",".",2.35
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"panicle_mass_per_m2",".",940.00
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"stem_mass_per_plant",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,2,"stem_mass_per_m2",".","."
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"leaf_mass_per_plant",".",0.73
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"leaf_mass_per_m2",".",26.40
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"panicle_mass_per_plant",".",2.17
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"panicle_mass_per_m2",".",78.00
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"stem_mass_per_plant",".",3.63
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",32,32014,3,"stem_mass_per_m2",".",130.80
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"leaf_mass_per_plant",".",0.73
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"leaf_mass_per_m2",".",26.40
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"panicle_mass_per_plant",".",0.77
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"panicle_mass_per_m2",".",27.60
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"stem_mass_per_plant",".",3.67
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34004,3,"stem_mass_per_m2",".",132.00
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34052,3,"leaf_mass_per_plant",".",0.27
2013,"density","JGI","rain_fed",36,123,134,"A10","low_density",34,34052,3,"leaf_mass_per_m2",".",9.60
