"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","trait","emergence_DOY","emergence_DAS"
2014,"density","JGI","rain_fed",400,198,205,"RIL_164","high_density",31,31062,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_094","high_density",31,31063,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_141","high_density",31,31064,"panicle_emergence",231,33
2014,"density","JGI","rain_fed",400,198,205,"RIL_069","high_density",31,31065,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_067","high_density",31,31066,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_127","high_density",31,31067,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_030","high_density",31,31068,"panicle_emergence",240,42
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31069,"panicle_emergence",240,42
2014,"density","JGI","rain_fed",400,198,205,"RIL_091","high_density",31,31070,"panicle_emergence",231,33
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31071,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_078","high_density",31,31072,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_093","high_density",31,31073,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_018","high_density",31,31074,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_169","high_density",31,31075,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_203","high_density",31,31076,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_034","high_density",31,31077,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31078,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_064","high_density",31,31079,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_121","high_density",31,31080,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_048","high_density",31,31081,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_144","high_density",31,31082,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_029","high_density",31,31083,"panicle_emergence",240,42
2014,"density","JGI","rain_fed",400,198,205,"RIL_178","high_density",31,31084,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_038","high_density",31,31085,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_195","high_density",31,31086,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_197","high_density",31,31087,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_220","high_density",31,31088,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_199","high_density",31,31089,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_149","high_density",31,31090,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_170","high_density",31,31091,"panicle_emergence",240,42
2014,"density","JGI","rain_fed",400,198,205,"RIL_043","high_density",31,31092,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31093,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_124","high_density",31,31094,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_033","high_density",31,31095,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_023","high_density",31,31096,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_179","high_density",31,31097,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_081","high_density",31,31098,"panicle_emergence",242,44
2014,"density","JGI","rain_fed",400,198,205,"RIL_072","high_density",31,31099,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_216","high_density",31,31100,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_101","high_density",31,31101,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_054","high_density",31,31102,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_120","high_density",31,31103,"panicle_emergence",231,33
