"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,3,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,4,"second_tiller_height",50
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,1,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,2,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,3,"tiller_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,4,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"branch_number_per_plant",10
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"branch_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"branch_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"culm_height",335
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"culm_height",475
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"culm_height",358
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"culm_height",440
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"leaf_number_per_plant",49
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"leaf_number_per_plant",38
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"leaf_number_per_plant",27
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"leaf_number_per_plant",57
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"Panicle_Length",84
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"Panicle_number_per_plant",21
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"Panicle_number_per_plant",15
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"Panicle_number_per_plant",8
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"Panicle_number_per_plant",32
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"second_tiller_height",324
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"second_tiller_height",448
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"second_tiller_height",320
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"second_tiller_height",274
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,1,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,2,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,3,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"branch_number_per_plant",3
